            angle	Ex=2.938(p:Menet,d:DCV)	Ex=2.938(p:KD,d:DCV)	Ex=2.938(p:Varmar,d:DCV)	Ex=2.938(p:BG,d:DCV(re))	Ex=2.938(p:Menet,d:LH)	Ex=2.938(p:Menet,d:DCV(nonREL))	Ex=2.938(p:Menet,d:AC)	Ex=2.938(p:Menet,d:Custom)	
            12.00	         0.583470	         0.652210	         0.606700	         0.557230	         0.550830	         0.576920	         0.616780	         0.452560	
            12.10	         0.588420	         0.658270	         0.612760	         0.563490	         0.554170	         0.581790	         0.621710	         0.455020	
            12.20	         0.593500	         0.664450	         0.618940	         0.569870	         0.557600	         0.586790	         0.626760	         0.457530	
            12.30	         0.598690	         0.670760	         0.625240	         0.576370	         0.561120	         0.591900	         0.631930	         0.460090	
            12.40	         0.603990	         0.677180	         0.631660	         0.582990	         0.564720	         0.597120	         0.637210	         0.462700	
            12.50	         0.609420	         0.683730	         0.638200	         0.589730	         0.568420	         0.602460	         0.642610	         0.465360	
            12.60	         0.614950	         0.690400	         0.644860	         0.596590	         0.572200	         0.607920	         0.648120	         0.468080	
            12.70	         0.620610	         0.697190	         0.651640	         0.603560	         0.576060	         0.613490	         0.653740	         0.470840	
            12.80	         0.626370	         0.704100	         0.658530	         0.610650	         0.580010	         0.619170	         0.659480	         0.473650	
            12.90	         0.632250	         0.711130	         0.665540	         0.617860	         0.584040	         0.624970	         0.665330	         0.476500	
            13.00	         0.638240	         0.718270	         0.672670	         0.625180	         0.588160	         0.630870	         0.671290	         0.479410	
            13.10	         0.644340	         0.725530	         0.679900	         0.632610	         0.592350	         0.636890	         0.677360	         0.482350	
            13.20	         0.650550	         0.732900	         0.687250	         0.640150	         0.596630	         0.643010	         0.683540	         0.485340	
            13.30	         0.656870	         0.740390	         0.694710	         0.647800	         0.600980	         0.649240	         0.689830	         0.488380	
            13.40	         0.663290	         0.747980	         0.702280	         0.655560	         0.605420	         0.655580	         0.696220	         0.491450	
            13.50	         0.669820	         0.755690	         0.709950	         0.663430	         0.609930	         0.662020	         0.702710	         0.494570	
            13.60	         0.676450	         0.763500	         0.717730	         0.671400	         0.614510	         0.668560	         0.709310	         0.497730	
            13.70	         0.683190	         0.771420	         0.725610	         0.679470	         0.619170	         0.675210	         0.716010	         0.500920	
            13.80	         0.690020	         0.779450	         0.733600	         0.687650	         0.623900	         0.681950	         0.722800	         0.504150	
            13.90	         0.696960	         0.787570	         0.741680	         0.695920	         0.628710	         0.688800	         0.729700	         0.507420	
            14.00	         0.703990	         0.795800	         0.749870	         0.704290	         0.633580	         0.695740	         0.736690	         0.510720	
            14.10	         0.711110	         0.804130	         0.758150	         0.712760	         0.638520	         0.702770	         0.743770	         0.514060	
            14.20	         0.718330	         0.812550	         0.766520	         0.721320	         0.643530	         0.709900	         0.750950	         0.517420	
            14.30	         0.725650	         0.821070	         0.774990	         0.729970	         0.648600	         0.717120	         0.758220	         0.520820	
            14.40	         0.733050	         0.829680	         0.783540	         0.738710	         0.653730	         0.724430	         0.765580	         0.524240	
            14.50	         0.740530	         0.838380	         0.792190	         0.747540	         0.658930	         0.731820	         0.773020	         0.527700	
            14.60	         0.748110	         0.847170	         0.800920	         0.756450	         0.664190	         0.739300	         0.780550	         0.531180	
            14.70	         0.755770	         0.856050	         0.809740	         0.765450	         0.669500	         0.746860	         0.788160	         0.534680	
            14.80	         0.763510	         0.865010	         0.818640	         0.774530	         0.674870	         0.754510	         0.795850	         0.538210	
            14.90	         0.771330	         0.874050	         0.827610	         0.783690	         0.680290	         0.762230	         0.803610	         0.541760	
            15.00	         0.779220	         0.883170	         0.836670	         0.792920	         0.685770	         0.770030	         0.811460	         0.545330	
            15.10	         0.787200	         0.892370	         0.845790	         0.802220	         0.691290	         0.777910	         0.819380	         0.548920	
            15.20	         0.795240	         0.901650	         0.855000	         0.811600	         0.696860	         0.785850	         0.827370	         0.552520	
            15.30	         0.803350	         0.910990	         0.864270	         0.821050	         0.702480	         0.793870	         0.835430	         0.556140	
            15.40	         0.811540	         0.920410	         0.873600	         0.830560	         0.708150	         0.801960	         0.843550	         0.559780	
            15.50	         0.819790	         0.929890	         0.883000	         0.840130	         0.713850	         0.810100	         0.851740	         0.563420	
            15.60	         0.828100	         0.939440	         0.892470	         0.849770	         0.719600	         0.818320	         0.859990	         0.567080	
            15.70	         0.836470	         0.949050	         0.901990	         0.859460	         0.725380	         0.826590	         0.868300	         0.570750	
            15.80	         0.844900	         0.958720	         0.911580	         0.869220	         0.731200	         0.834920	         0.876670	         0.574420	
            15.90	         0.853380	         0.968440	         0.921200	         0.879010	         0.737050	         0.843300	         0.885090	         0.578100	
            16.00	         0.861920	         0.978220	         0.930890	         0.888870	         0.742930	         0.851740	         0.893560	         0.581780	
            16.10	         0.870510	         0.988050	         0.940620	         0.898770	         0.748840	         0.860220	         0.902080	         0.585470	
            16.20	         0.879140	         0.997930	         0.950400	         0.908710	         0.754780	         0.868760	         0.910650	         0.589150	
            16.30	         0.887830	         1.007800	         0.960220	         0.918700	         0.760740	         0.877340	         0.919260	         0.592840	
            16.40	         0.896550	         1.017800	         0.970080	         0.928720	         0.766730	         0.885960	         0.927910	         0.596520	
            16.50	         0.905310	         1.027800	         0.979980	         0.938780	         0.772730	         0.894610	         0.936600	         0.600200	
            16.60	         0.914110	         1.037900	         0.989910	         0.948870	         0.778760	         0.903310	         0.945330	         0.603870	
            16.70	         0.922940	         1.047900	         0.999880	         0.959000	         0.784790	         0.912040	         0.954080	         0.607540	
            16.80	         0.931810	         1.058000	         1.009900	         0.969150	         0.790840	         0.920800	         0.962870	         0.611190	
            16.90	         0.940700	         1.068200	         1.019900	         0.979320	         0.796900	         0.929580	         0.971680	         0.614830	
            17.00	         0.949610	         1.078300	         1.029900	         0.989510	         0.802970	         0.938400	         0.980520	         0.618460	
            17.10	         0.958550	         1.088500	         1.040000	         0.999730	         0.809040	         0.947230	         0.989380	         0.622080	
            17.20	         0.967510	         1.098700	         1.050000	         1.010000	         0.815120	         0.956080	         0.998250	         0.625680	
            17.30	         0.976490	         1.108900	         1.060100	         1.020200	         0.821200	         0.964950	         1.007100	         0.629260	
            17.40	         0.985480	         1.119100	         1.070200	         1.030400	         0.827280	         0.973830	         1.016000	         0.632820	
            17.50	         0.994480	         1.129300	         1.080300	         1.040700	         0.833350	         0.982730	         1.025000	         0.636360	
            17.60	         1.003500	         1.139600	         1.090400	         1.051000	         0.839410	         0.991630	         1.033900	         0.639870	
            17.70	         1.012500	         1.149800	         1.100500	         1.061200	         0.845470	         1.000500	         1.042800	         0.643370	
            17.80	         1.021500	         1.160100	         1.110600	         1.071500	         0.851520	         1.009400	         1.051700	         0.646830	
            17.90	         1.030500	         1.170300	         1.120700	         1.081700	         0.857550	         1.018300	         1.060600	         0.650270	
            18.00	         1.039500	         1.180500	         1.130800	         1.091900	         0.863560	         1.027200	         1.069600	         0.653670	
            18.10	         1.048500	         1.190700	         1.140900	         1.102200	         0.869560	         1.036100	         1.078500	         0.657050	
            18.20	         1.057500	         1.200900	         1.151000	         1.112400	         0.875540	         1.045000	         1.087400	         0.660390	
            18.30	         1.066500	         1.211100	         1.161000	         1.122600	         0.881490	         1.053900	         1.096200	         0.663700	
            18.40	         1.075500	         1.221300	         1.171000	         1.132700	         0.887420	         1.062700	         1.105100	         0.666970	
            18.50	         1.084400	         1.231400	         1.181000	         1.142900	         0.893320	         1.071600	         1.113900	         0.670200	
            18.60	         1.093300	         1.241500	         1.191000	         1.153000	         0.899190	         1.080400	         1.122800	         0.673390	
            18.70	         1.102200	         1.251600	         1.200900	         1.163100	         0.905020	         1.089200	         1.131600	         0.676550	
            18.80	         1.111100	         1.261700	         1.210900	         1.173100	         0.910820	         1.097900	         1.140300	         0.679650	
            18.90	         1.120000	         1.271700	         1.220700	         1.183100	         0.916580	         1.106700	         1.149000	         0.682720	
            19.00	         1.128800	         1.281700	         1.230500	         1.193100	         0.922310	         1.115400	         1.157700	         0.685740	
            19.10	         1.137500	         1.291600	         1.240300	         1.203000	         0.927990	         1.124000	         1.166400	         0.688710	
            19.20	         1.146300	         1.301500	         1.250100	         1.212900	         0.933630	         1.132700	         1.175000	         0.691630	
            19.30	         1.155000	         1.311400	         1.259800	         1.222700	         0.939220	         1.141200	         1.183600	         0.694510	
            19.40	         1.163600	         1.321200	         1.269400	         1.232500	         0.944760	         1.149800	         1.192100	         0.697330	
            19.50	         1.172200	         1.330900	         1.279000	         1.242200	         0.950250	         1.158200	         1.200600	         0.700100	
            19.60	         1.180700	         1.340600	         1.288500	         1.251900	         0.955680	         1.166700	         1.209000	         0.702810	
            19.70	         1.189200	         1.350300	         1.298000	         1.261400	         0.961060	         1.175100	         1.217400	         0.705470	
            19.80	         1.197700	         1.359800	         1.307400	         1.271000	         0.966390	         1.183400	         1.225700	         0.708070	
